season,nfl_id,name,position,ngs_position,position_group,team_id,games_played,games_started,game_snaps,team_snaps,pass_rush_snaps,pass_rush_rate,get_off_time,qb_pressures,qb_pressure_rate,time_to_pressure,sacks,sack_rate,time_to_sack,qb_defeats,turn_pressures,qualified_defender
2019,48780,Troy Reeder,LB,LB,LB,2510,13,8,288,872,5,0.0424,0.662,0,,0,0,,0,0,0,False
2019,43497,Kamu Grugier-Hill,OLB,LB,LB,3700,10,6,287,602,20,0.129,0.921,2,0.1,2.95,0,,0,0,0,False
2019,45011,D.J. Jones,DT,DT,DL,4500,11,11,287,663,136,1,1.2136,11,0.0809,3.52727,2,0.0147,4.778,2,0,False
2019,44937,Jalen Reeves-Maybin,OLB,LB,LB,1540,10,3,284,718,28,0.1628,1.20589,4,0.1429,2.375,0,,0,2,0,False
2019,38670,Najee Goode,OLB,LB,LB,2250,7,4,281,452,10,0.0662,1.062,3,0.3,3.33333,1,0.1,3.55,1,0,True
2019,42378,Mario Edwards,DE,ED,DL,3300,14,0,280,886,164,0.9939,1.09551,16,0.0976,3.30625,3,0.0183,4.76333,2,0,False
2019,43753,Reggie Gilbert,LB,ED,LB,2100,11,5,279,727,162,0.9153,1.00015,11,0.0679,2.99091,1,0.0062,5.316,4,1,False
2019,42560,Rakeem Nunez-Roches,DT,DT,DL,4900,16,0,276,1073,168,0.9882,0.98688,9,0.0536,2.95556,0,,0,4,0,False
2019,39994,Kiko Alonso,OLB,LB,LB,3300,12,4,273,767,48,0.254,1.0054,6,0.125,3.75,0,,0,1,0,False
2019,40825,Benson Mayowa,DE,ED,DL,2520,15,0,270,894,224,0.9614,0.7689,27,0.1205,2.75185,7,0.0312,4.3155,10,3,False
2019,47860,Chase Winovich,DE,ED,DL,3200,16,0,269,948,213,0.9638,0.85118,27,0.1268,2.7963,5.5,0.0258,4.84586,14,1,False
2019,41722,Josh Mauro,DE,ED,DL,2520,13,7,267,776,120,0.9836,1.00644,1,0.0083,1.8,0,,0,1,0,False
2019,47854,Dre'Mont Jones,DL,DT,DL,1400,14,1,265,887,199,0.9755,1.03036,17,0.0854,3.24118,3.5,0.0176,4.94175,3,1,False
2019,41275,Stephon Tuitt,DE,DT,DL,3900,6,6,262,408,157,1,1.00201,18,0.1147,2.52222,3.5,0.0223,3.93225,9,0,True
2019,45038,Isaac Rochell,DE,ED,DL,4400,16,0,262,923,169,0.9941,0.86784,13,0.0769,3.15385,1,0.0059,7.638,3,0,False
2019,43352,Adam Gotsis,DE,DT,DL,1400,9,3,261,578,121,1,1.07963,8,0.0661,3.925,0,,0,1,0,False
2019,39993,Kevin Minter,MLB,LB,LB,4900,9,2,260,607,49,0.2606,0.81483,10,0.2041,2,0,,0,7,1,False
2019,41277,Timmy Jernigan,DT,DT,DL,3700,10,9,259,589,150,0.9804,1.01823,12,0.08,2.43333,2,0.0133,4.5365,8,1,False
2019,47832,Ben Banogu,DE,ED,DL,2200,15,0,257,929,167,0.9709,0.87722,20,0.1198,3.065,2.5,0.015,4.64833,7,2,False
2019,38582,Zach Brown,ILB,LB,LB,3700,6,6,256,373,13,0.0897,0.83443,3,0.2308,1.86667,0,,0,3,0,True
2019,46212,Ja'Whaun Bentley,LB,LB,LB,3200,16,2,254,948,35,0.2448,0.93057,6,0.1714,3,0,,0,1,0,False
2019,46230,Jermaine Carter,LB,LB,LB,0750,10,5,254,653,16,0.129,0.75671,3,0.1875,2.36667,0.5,0.0312,4.104,2,0,False
2019,47939,Justin Hollins,LB,ED,LB,1400,14,0,252,874,129,0.7544,0.88927,8,0.062,3.7375,1,0.0077,5.19,0,1,False
2019,44955,Carlos Watkins,DT,DT,DL,2120,10,1,249,624,145,0.9931,0.97647,6,0.0414,3.5,1,0.0069,6.941,1,0,False
2019,46185,Dorance Armstrong,DE,ED,DL,1200,15,0,248,958,157,0.9752,0.84232,13,0.0828,2.91667,2,0.0127,3.5905,5,1,False
2019,37240,Pernell McPhee,OLB,ED,LB,0325,7,7,245,399,162,0.9529,0.90565,20,0.1235,2.36,3,0.0185,3.48767,12,0,True
2019,43364,Shilique Calhoun,LB,ED,LB,3200,15,1,244,901,185,0.9635,0.84703,15,0.0811,2.72,0,,0,5,0,False
2019,38883,L.J. Fort,ILB,LB,LB,0325,11,8,242,645,46,0.2968,0.89131,10,0.2174,3.83,2,0.0435,5.835,3,0,False
2019,43398,B.J. Goodson,ILB,LB,LB,1800,14,9,242,850,9,0.0918,0,2,0.2222,2.5,0,,0,1,0,False
2019,46772,Trent Harris,LB,ED,LB,2700,11,3,240,712,93,0.7686,0.88117,7,0.0753,2.88571,1.5,0.0161,3.66,3,1,False
2019,41363,Brent Urban,DE,DT,DL,0810,13,0,239,818,104,1,1.07033,6,0.0577,2.88333,0,,0,2,0,False
2019,47795,Rashan Gary,LB,ED,LB,1800,16,0,237,998,138,0.9517,0.87261,17,0.1232,2.9,2,0.0145,5.272,3,0,False
2019,41379,Aaron Lynch,OLB,ED,LB,0810,16,0,235,1017,139,0.8798,0.93672,18,0.1295,3.23333,2,0.0144,4.89,4,0,False
2019,43405,Hassan Ridgeway,DT,DT,DL,3700,7,5,234,439,132,0.9706,1.09823,7,0.053,2.9,2,0.0152,4.615,3,0,True
2019,41599,Joe Thomas,ILB,LB,LB,1200,14,2,232,899,16,0.1212,1.1376,1,0.0625,6.6,0,,0,0,0,False
2019,46227,Andrew Brown,DE,ED,DL,0920,14,1,231,917,132,0.9429,0.8822,9,0.0682,3.01111,0,,0,3,0,False
2019,40326,Will Compton,ILB,LB,LB,2520,9,4,229,530,10,0.0813,0.99567,1,0.1,1.6,0,,0,1,0,False
2019,41253,Deone Bucannon,ILB,LB,LB,3410,12,1,226,822,25,0.1582,1.01757,5,0.2,2.36,0,,0,2,0,False
2019,43330,Reggie Ragland,ILB,ED,LB,2310,14,7,225,933,64,0.512,0.97283,9,0.1406,3.14444,2,0.0312,4.621,2,0,False
2019,45352,Austin Calitro,LB,LB,LB,2250,7,4,224,453,6,0.0546,1.288,3,0.5,2.5,1,0.1667,4.769,2,1,False
2019,46074,Bradley Chubb,DE,ED,DL,1400,4,4,222,238,102,0.9026,0.95898,15,0.1471,2.81333,1,0.0098,3.452,6,0,True
2019,48539,Porter Gustin,DE,ED,DL,1050,6,0,219,388,108,0.973,1.02607,8,0.0741,2.55,1,0.0093,3.504,4,0,True
2019,46133,Tyquan Lewis,DT,ED,DL,2200,9,0,218,559,147,0.9608,0.96368,10,0.068,2.66,0,,0,5,3,False
2019,48008,Darryl Johnson,DE,ED,DL,0610,15,0,218,936,111,0.9407,0.9449,14,0.1261,2.93571,1,0.009,5.519,4,0,False
2019,46141,Nathan Shepherd,DT,DT,DL,3430,9,0,215,559,135,0.9575,0.92623,15,0.1111,3.05333,2,0.0148,5.9695,3,0,False
2019,41249,Dee Ford,DE,ED,DL,4500,11,2,214,634,162,0.9529,0.78542,22,0.1358,2.7,6.5,0.0401,3.92943,11,2,False
2019,44944,Deatrich Wise,DE,DT,DL,3200,14,3,213,822,105,0.9813,0.92483,17,0.1619,2.98824,2,0.0191,7.0645,4,0,False
2019,44863,DeMarcus Walker,DE,DT,DL,1400,10,1,212,627,119,0.9917,1.06449,8,0.0672,3.9125,4,0.0336,4.26925,2,1,False
2019,46255,Jake Martin,LB,ED,LB,2120,14,0,208,888,161,0.9306,0.8436,20,0.1242,2.935,3.5,0.0217,4.226,8,1,False
2019,41361,Kevin Pierre-Louis,ILB,LB,LB,0810,6,3,207,374,26,0.1857,0.82718,9,0.3462,2.71111,0,,0,4,0,True
2019,45305,Bryan Cox,DE,ED,DL,1050,7,2,207,452,115,0.92,0.98522,12,0.1043,2.90833,0.5,0.0043,4.132,4,0,False
2019,45393,Devaroe Lawrence,DT,DT,DL,1050,11,2,205,689,121,0.9758,1.07705,4,0.0331,2.4,0,,0,2,0,False
2019,46175,Josey Jewell,LB,LB,LB,1400,11,3,205,709,10,0.0885,0,4,0.4,2.65,1.5,0.15,4.0415,2,0,False
2019,37076,Marcell Dareus,DT,DT,DL,2250,6,6,200,383,109,1,1.09199,2,0.0184,3.2,0.5,0.0046,4.971,0,0,True
2019,46205,Marquis Haynes,DE,ED,DL,0750,11,0,197,731,124,0.9323,0.73931,10,0.0806,2.73,1,0.0081,3.285,4,0,False
2019,38662,Mike Daniels,DT,DT,DL,1540,9,2,196,598,119,1,1.07358,7,0.0588,2.55714,1,0.0084,3.804,3,0,False
2019,43503,Elandon Roberts,MLB,LB,LB,3200,14,3,191,817,19,0.2467,1.244,6,0.3158,3.33333,1,0.0526,4.771,2,0,False
2019,30153,Cameron Wake,OLB,ED,LB,2100,9,0,187,613,172,0.9773,0.79032,24,0.1395,2.6,2.5,0.0145,4.762,13,1,False
2019,43431,Ronald Blair,DE,ED,DL,4500,9,0,187,504,106,0.9815,0.92373,12,0.1132,3.34167,3,0.0283,4.638,3,0,False
2019,47934,Andrew Van Ginkel,LB,ED,LB,2700,6,1,186,408,101,0.8279,0.89931,4,0.0396,3.6,1,0.0099,5.873,1,0,False
2019,38470,Craig Robertson,OLB,LB,LB,3300,6,1,183,386,38,0.2714,0.98104,4,0.1053,2.55,1,0.0263,4.171,2,0,False
2019,46416,Jacob Tuioti-Mariner,DT,ED,DL,0200,8,1,180,479,109,0.9646,0.79379,6,0.0551,3.26667,0,,0,0,0,False
2019,38619,Akiem Hicks,DT,DT,DL,0810,5,5,179,330,121,0.9837,1.07328,9,0.0744,3.88889,1,0.0083,3.57,0,0,True
2019,44905,Montravius Adams,DL,DT,DL,1800,14,2,178,865,106,0.9907,0.9922,5,0.0472,2.3,0,,0,3,0,False
2019,47917,Greg Gaines,DT,DT,DL,2510,10,0,178,650,74,1,1.11508,4,0.0541,3.875,0.5,0.0068,7.708,2,0,False
2019,47926,Ryan Connelly,LB,LB,LB,3410,4,3,178,250,14,0.1489,0.981,3,0.2143,2.6,1,0.0714,4.941,2,0,True
2019,38856,Vontaze Burfict,OLB,LB,LB,2520,4,4,175,253,12,0.1237,0.9995,0,,0,0,,0,0,0,True
2019,41453,Beau Allen,DT,DT,DL,4900,13,0,173,860,93,1,1.12822,3,0.0323,2.56667,0.5,0.0054,4.337,1,0,False
2019,45414,Eli Ankou,DT,DT,DL,1050,9,2,171,557,68,1,1.29108,2,0.0294,3.35,0,,0,0,0,False
2019,46843,Sharif Finch,OLB,ED,LB,2100,8,3,168,514,92,0.9892,0.90458,10,0.1087,2.48,2,0.0217,4.1095,6,0,False
2019,42945,Olsen Pierre,DT,DT,DL,3410,9,0,167,579,106,0.9907,0.97987,7,0.066,4.92857,2,0.0189,6.423,1,0,False
